,Hyperlink,SearchKeywords,DateCollected
0,https://www.amazon.com.au/Walgreens-Daily-Multivitamin-Health-Tablets/dp/B013TBYKP2/ref=sr_1_193?keywords=Prenatal+vitamin&qid=1681625888&sr=8-193,"Prenatal vitamin
",2023-04-16
1,https://www.amazon.com.au/Equate-Mature-Complete-Multivitamin-Bundle/dp/B0BT52GTP5/ref=sr_1_194?keywords=Prenatal+vitamin&qid=1681625888&sr=8-194,"Prenatal vitamin
",2023-04-16
2,https://www.amazon.com.au/Gaia-Herbs-Floradix-Epresat-Multivitamin/dp/B098QM8W77/ref=sr_1_195?keywords=Prenatal+vitamin&qid=1681625888&sr=8-195,"Prenatal vitamin
",2023-04-16
3,https://www.amazon.com.au/Fairhaven-Health-Postnatal-Breastfeeding-Multivitamin/dp/B005HEEWI0/ref=sr_1_196?keywords=Prenatal+vitamin&qid=1681625888&sr=8-196,"Prenatal vitamin
",2023-04-16
4,https://www.amazon.com.au/Rainbow-Light-Multivitamin-Mens-Count/dp/B07G29QBT5/ref=sr_1_197?keywords=Prenatal+vitamin&qid=1681625888&sr=8-197,"Prenatal vitamin
",2023-04-16
5,https://www.amazon.com.au/Vegan-Life-Nutrition-Postnatal-Gluten-Free/dp/B0BMN8D4HG/ref=sr_1_198?keywords=Prenatal+vitamin&qid=1681625888&sr=8-198,"Prenatal vitamin
",2023-04-16
6,https://www.amazon.com.au/SmartyPants-Womens-Complete-Vitamin-Gummies/dp/B01B1JPXBE/ref=sr_1_199?keywords=Prenatal+vitamin&qid=1681625888&sr=8-199,"Prenatal vitamin
",2023-04-16
7,https://www.amazon.com.au/Azuryx-Multivitamin-Collagen-Gummies-Supports/dp/B0BG6HM6LY/ref=sr_1_200?keywords=Prenatal+vitamin&qid=1681625888&sr=8-200,"Prenatal vitamin
",2023-04-16
8,https://www.amazon.com.au/Pregnancy-Statue-Waterproof-Figurine-Sculpture/dp/B0BPDPWQSP/ref=sr_1_201?keywords=Prenatal+vitamin&qid=1681625888&sr=8-201,"Prenatal vitamin
",2023-04-16
9,https://www.amazon.com.au/Pregnancy-Sculpture-Imitation-Mother-Statue/dp/B0BPD5KT4P/ref=sr_1_202?keywords=Prenatal+vitamin&qid=1681625888&sr=8-202,"Prenatal vitamin
",2023-04-16
10,https://www.amazon.com.au/SmartyPants-Organics-Complete-Multivitamin-Vegetarian/dp/B079YKTCV3/ref=sr_1_193?keywords=Prenatal+vitamin&qid=1681625888&sr=8-193,"Prenatal vitamin
",2023-04-16
11,https://www.amazon.com.au/Livingood-Daily-Multi-Vitamin-Capsules/dp/B0B8TKMY3X/ref=sr_1_194?keywords=Prenatal+vitamin&qid=1681625888&sr=8-194,"Prenatal vitamin
",2023-04-16
12,https://www.amazon.com.au/SmartyPants-Womens-Complete-Gummy-Vitamins/dp/B00DUEEM4I/ref=sr_1_195?keywords=Prenatal+vitamin&qid=1681625888&sr=8-195,"Prenatal vitamin
",2023-04-16
13,https://www.amazon.com.au/Potency-Multivitamin-Shaklee-Vita-Lea-Vitamin/dp/B0BGXBS5ST/ref=sr_1_196?keywords=Prenatal+vitamin&qid=1681625888&sr=8-196,"Prenatal vitamin
",2023-04-16
14,https://www.amazon.com.au/Tapestry-Brands-Daily-Multivitamin-Count/dp/B09C6HHZ7F/ref=sr_1_197?keywords=Prenatal+vitamin&qid=1681625888&sr=8-197,"Prenatal vitamin
",2023-04-16
15,https://www.amazon.com.au/OhMyVit-Ellas-Womens-Multivitamin-Unigel/dp/B0B4X268QC/ref=sr_1_198?keywords=Prenatal+vitamin&qid=1681625888&sr=8-198,"Prenatal vitamin
",2023-04-16
16,https://www.amazon.com.au/SmartyPants-Little-Formula-Daily-Multivitamin/dp/B086ZGRQCZ/ref=sr_1_199?keywords=Prenatal+vitamin&qid=1681625888&sr=8-199,"Prenatal vitamin
",2023-04-16
17,https://www.amazon.com.au/MegaFood-One-Daily-90-Tablets/dp/B001AG675K/ref=sr_1_200?keywords=Prenatal+vitamin&qid=1681625888&sr=8-200,"Prenatal vitamin
",2023-04-16
18,https://www.amazon.com.au/Zapple-Organic-Vegetables-Supplements-Capsules/dp/B0BN7VK9B5/ref=sr_1_201?keywords=Prenatal+vitamin&qid=1681625888&sr=8-201,"Prenatal vitamin
",2023-04-16
19,https://www.amazon.com.au/MENEVIT-Fertility-Supplement-Capsules-grams/dp/B08NWCS7DT/ref=sr_1_202?keywords=Prenatal+vitamin&qid=1681625888&sr=8-202,"Prenatal vitamin
",2023-04-16
20,https://www.amazon.com.au/Omega-Blu-Multivitamins-Antioxidant-Supplement/dp/B0BDSPKBHD/ref=sr_1_203?keywords=Prenatal+vitamin&qid=1681625888&sr=8-203,"Prenatal vitamin
",2023-04-16
21,https://www.amazon.com.au/Flintstones-Childrens-Multivitamin-Multmineral-Supplement/dp/B0087W4IP6/ref=sr_1_204?keywords=Prenatal+vitamin&qid=1681625888&sr=8-204,"Prenatal vitamin
",2023-04-16
22,https://www.amazon.com.au/Pregnant-Figurine-Waterproof-Birthing-Decoration/dp/B0BPDQL471/ref=sr_1_205?keywords=Prenatal+vitamin&qid=1681625888&sr=8-205,"Prenatal vitamin
",2023-04-16
23,https://www.amazon.com.au/Pregnant-Sculpture-Figurine-Maternal-Ornaments/dp/B0BMZ89LHM/ref=sr_1_206?keywords=Prenatal+vitamin&qid=1681625888&sr=8-206,"Prenatal vitamin
",2023-04-16
24,https://www.amazon.com.au/Vitanica-Maternal-Symmetry-180-Count/dp/B0009C17YM/ref=sr_1_207?keywords=Prenatal+vitamin&qid=1681625888&sr=8-207,"Prenatal vitamin
",2023-04-16
25,https://www.amazon.com.au/Shaklee-Vita-lea-Witho-Vitamin-Pound/dp/B07F43RM56/ref=sr_1_208?keywords=Prenatal+vitamin&qid=1681625888&sr=8-208,"Prenatal vitamin
",2023-04-16
26,https://www.amazon.com.au/Rae-Multi-Vitamins-Capsules-Vitamins-Gluten-Free/dp/B084335P2Y/ref=sr_1_209?keywords=Prenatal+vitamin&qid=1681625888&sr=8-209,"Prenatal vitamin
",2023-04-16
27,https://www.amazon.com.au/GLYTCH-Level-Up-Multivitamin/dp/B088GV7MHB/ref=sr_1_210?keywords=Prenatal+vitamin&qid=1681625888&sr=8-210,"Prenatal vitamin
",2023-04-16
28,https://www.amazon.com.au/Natures-Triple-Strength-Capsules-Australia/dp/B075FRV15G/ref=sr_1_211?keywords=Prenatal+vitamin&qid=1681625888&sr=8-211,"Prenatal vitamin
",2023-04-16
29,https://www.amazon.com.au/Vitanica-Womens-Symmetry-Multivitamin-Count/dp/B006H9TH7A/ref=sr_1_212?keywords=Prenatal+vitamin&qid=1681625888&sr=8-212,"Prenatal vitamin
",2023-04-16
30,https://www.amazon.com.au/Pregnant-Figurine-Resin-Mother-New/dp/B0BMZ7TZ1X/ref=sr_1_213?keywords=Prenatal+vitamin&qid=1681625888&sr=8-213,"Prenatal vitamin
",2023-04-16
31,https://www.amazon.com.au/Whole-MultiVitamin-Minerals-Probiotic-Enzymes/dp/B01ITFL68M/ref=sr_1_214?keywords=Prenatal+vitamin&qid=1681625888&sr=8-214,"Prenatal vitamin
",2023-04-16
32,https://www.amazon.com.au/Equate-Womens-Multivitamin-Vegetarian-Gummies/dp/B07SRWYXX5/ref=sr_1_215?keywords=Prenatal+vitamin&qid=1681625888&sr=8-215,"Prenatal vitamin
",2023-04-16
33,https://www.amazon.com.au/Balance-Nature-Fruit-Vegetable-Supplements/dp/B082PB3ZHG/ref=sr_1_216?keywords=Prenatal+vitamin&qid=1681625888&sr=8-216,"Prenatal vitamin
",2023-04-16
